COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
880;1;CALLE;DEL;VALLE DE BELAGUA;VALLE DE BELAGUA;31/05/1990;;V
881;1;CALLE;DEL;VALLE DE ANSO;VALLE DE ANSÓ;31/05/1990;;V
882;1;CALLE;DEL;VALLE DE CACHEMIRA;VALLE DE CACHEMIRA;31/05/1990;;V
883;1;CALLE;DEL;VALLE DEL BAZTAN;VALLE DEL BAZTÁN;31/05/1990;;V
884;1;CALLE;DEL;VALLE DE CARDOS;VALLE DE CARDOS;31/05/1990;;V
885;1;CALLE;DEL;VALLE DE PINETA;VALLE DE PINETA;31/05/1990;;V
886;1;CALLE;DEL;VALLE DE ORDESA;VALLE DE ORDESA;31/05/1990;;V
887;1;CALLE;DEL;VALLE DE TENA;VALLE DE TENA;31/05/1990;;V
888;1;GLORIETA;DEL;VALLE DE ARCE;VALLE DE ARCE;31/05/1990;;V
889;1;CALLE;DEL;VALLE DE MENA;VALLE DE MENA;31/05/1990;;V
890;1;CALLE;DEL;VALLE DE BERGANTIÑOS;VALLE DE BERGANTIÑOS;31/05/1990;;V
891;1;CALLE;DEL;VALLE DEL SILENCIO;VALLE DEL SILENCIO;31/05/1990;;V
892;1;CALLE;DEL;VALLE DE AÑISCLO;VALLE DE AÑISCLO;31/05/1990;;V
893;1;PLAZA;DEL;RIO VALDUEZA;RÍO VALDUEZA;31/05/1990;08/02/2006;H
894;1;CALLE;DEL;MAR ADRIATICO;MAR ADRIÁTICO;31/05/1990;25/03/1993;V
894;2;CALLE;DEL;TIBERIADES;TIBERÍADES;25/03/1993;;V
895;1;CALLE;DE;JAVIER DEL QUINTO;JAVIER DEL QUINTO;31/05/1990;;V
896;1;CALLE;DE;MALAGON;MALAGÓN;31/05/1990;;V
897;1;CALLE;DE;TORDOMAR;TORDOMAR;31/05/1990;;V
898;1;CALLE;DE;AYACUCHO;AYACUCHO;31/05/1990;;V
899;1;CALLE;DE;AREQUIPA;AREQUIPA;31/05/1990;;V
900;1;CALLE;DEL;ABARDERO;ABARDERO;20/02/1951;;V
901;1;CALLE;DE;ACONCAGUA;ACONCAGUA;31/05/1990;;V
902;1;GLORIETA;DEL;MAR DE CRISTAL;MAR DE CRISTAL;31/05/1990;;V
903;1;CALLE;DEL;NEVADO DEL RUIZ;NEVADO DEL RUIZ;31/05/1990;;V
904;1;CALLE;DEL;NEVADO DEL CUMBAL;NEVADO DEL CUMBAL;31/05/1990;;V
905;1;CALLE;DE;GUATAVITA;GUATAVITA;31/05/1990;;V
906;1;CALLE;DE;PAIPA;PAIPA;31/05/1990;;V
907;1;CALLE;DE;TORRESANDINO;TORRESANDINO;31/05/1990;;V
908;1;CALLE;DE;MINAYA;MINAYA;31/05/1990;;V
909;1;GLORIETA;DEL;RIO URUBAMBA;RÍO URUBAMBA;31/05/1990;;V
909;2;AUTOVÍA;;M-40 ENLACE 5;M-40 ENLACE 5;01/01/1990;31/05/1990;V
910;1;CALLE;DE;VALDESPINA;VALDESPINA;31/05/1990;;V
911;1;CALLE;DE;MONTALBOS;MONTALBOS;31/05/1990;;V
912;1;CALLE;DE;VERDE VIENTO;VERDE VIENTO;31/05/1990;;V
913;1;CALLE;DE;CAMBORIO;CAMBORIO;31/05/1990;;V
914;1;CALLE;DEL;ROMANCERO GITANO;ROMANCERO GITANO;31/05/1990;29/04/1992;V
914;2;CALLE;DE;VARGAS HEREDIA;VARGAS HEREDIA;29/04/1992;;V
915;1;CALLE;DE;AINSA;AÍNSA;31/05/1990;;V
916;1;CALLE;DE;CALATAÑAZOR;CALATAÑAZOR;31/05/1990;;V
